,influencer,title,author,subtitle,id_code,identifier_type,ISBN
108,Bill Gates,Life 3.0,Max Tegmark,Being Human in the Age of Artificial Intelligence,1101970316,ISBN,1101970316
109,Bill Gates,Factfulness,Hans Rosling,Ten Reasons We're Wrong About the World - and Why Things Are Better Than You Think,1250107814,ISBN,1250107814
110,Bill Gates,Hyperbole and a Half,Allie Brosh,"Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",B00BSB2AE4,ASIN,
111,Bill Gates,Sapiens,Yuval Noah Harari,A Brief History of Humankind,0062316117,ISBN,0062316117
112,Bill Gates,Energy,Vaclav Smil,A Beginner's Guide,1786071339,ISBN,1786071339
113,Bill Gates,The Headspace Guide to Meditation and Mindfulness,Andy Puddicombe,How Mindfulness Can Change Your Life in Ten Minutes a Day,1250104904,ISBN,1250104904
114,Bill Gates,Should We Eat Meat?,Vaclav Smil,Evolution and Consequences of Modern Carnivory,1118278720,ISBN,1118278720
115,Bill Gates,The Better Angels of Our Nature,Steven Pinker,Why Violence Has Declined,0143122010,ISBN,0143122010
116,Bill Gates,The Rosie Effect,Graeme Simsion,A Novel,B00L6C313E,ASIN,
117,Bill Gates,Brain Rules,John Medina,"12 Principles for Surviving and Thriving at Work, Home, and School",098326337X,ISBN,098326337X
118,Bill Gates,When Breath Becomes Air,Paul Kalanithi,,081298840X,ISBN,081298840X
119,Bill Gates,Stuff Matters,Mark Miodownik,Exploring the Marvelous Materials That Shape Our Man-Made World,0544483944,ISBN,0544483944
120,Bill Gates,21 Lessons for the 21st Century,Yuval Noah Harari,,0525512179,ISBN,0525512179
121,Bill Gates,The Moment of Lift,Melinda Gates,How Empowering Women Changes the World,1250313570,ISBN,1250313570
122,Bill Gates,Mindset,Carol S. Dweck,The New Psychology of Success,0345472322,ISBN,0345472322
123,Bill Gates,Turtles All the Way Down,John Green,,0525555374,ISBN,0525555374
124,Bill Gates,The Black Swan,Nassim Nicholas Taleb,The Impact of the Highly Improbable,081297381X,ISBN,081297381X
125,Bill Gates,Poor Charlie's Almanack,Charles T. Munger,The Wit and Wisdom of Charles T. Munger,1578645018,ISBN,1578645018
