,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
568,Joe Rogan,The Four Agreements,Don Miguel Ruiz,A Practical Guide to Personal Freedom,1878424319,ISBN,Don Miguel Ruiz,The Four Agreements,Os quatro compromissos,8576840707,https://images-na.ssl-images-amazon.com/images/I/A13DBDyiaeL.jpg
570,Jack Dorsey,The Four Agreements,Don Miguel Ruiz,A Practical Guide to Personal Freedom,1878424319,ISBN,Don Miguel Ruiz,The Four Agreements,Os quatro compromissos,8576840707,https://images-na.ssl-images-amazon.com/images/I/A13DBDyiaeL.jpg
571,Ellen DeGeneres,The Four Agreements,Don Miguel Ruiz,A Practical Guide to Personal Freedom,1878424319,ISBN,Don Miguel Ruiz,The Four Agreements,Os quatro compromissos,8576840707,https://images-na.ssl-images-amazon.com/images/I/A13DBDyiaeL.jpg
572,Daniel Negreanu,The Four Agreements,Don Miguel Ruiz,A Practical Guide to Personal Freedom,1878424319,ISBN,Don Miguel Ruiz,The Four Agreements,Os quatro compromissos,8576840707,https://images-na.ssl-images-amazon.com/images/I/A13DBDyiaeL.jpg
573,Joe Rogan,Can't Hurt Me,David Goggins,Master Your Mind and Defy the Odds,1544512287,ISBN,David Goggins,Can't Hurt Me,,,https://images-na.ssl-images-amazon.com/images/I/61-l7Ee3usL.jpg
575,Joe Rogan,Food of the Gods,Terence McKenna,"The Search for the Original Tree of Knowledge A Radical History of Plants, Drugs, and Human Evolution",553371304,ISBN,Terence McKenna,Food of the Gods,,,"https://images-na.ssl-images-amazon.com/images/I/51OjtMiKQTL._SX328_BO1,204,203,200_.jpg"
577,Joe Rogan,Son of the Morning Star,Evan S. Connell,Custer and the Little Bighorn,865475105,ISBN,Evan S. Connell,Son of the Morning Star,,,https://m.media-amazon.com/images/I/51uhOk6FLSL._SY346_.jpg
579,Joe Rogan,Fingerprints of the Gods,Graham Hancock,,517887290,ISBN,Graham Hancock,Fingerprints of the Gods,,,https://m.media-amazon.com/images/I/51+Nj26xH0L._SY346_.jpg
581,Joe Rogan,Something Deeply Hidden,Sean Carroll,Quantum Worlds and the Emergence of Spacetime,1524743011,ISBN,Sean Carroll,Something Deeply Hidden,,,"https://images-na.ssl-images-amazon.com/images/I/517rGp9xRrL._SX330_BO1,204,203,200_.jpg"
583,Joe Rogan,Going Clear,Lawrence Wright,"Scientology, Hollywood, and the Prison of Belief",307745309,ISBN,Lawrence Wright,Going Clear,,,"https://images-na.ssl-images-amazon.com/images/I/51V+FUSTCrL._SY344_BO1,204,203,200_.jpg"
585,Joe Rogan,Coyote America,Dan Flores,A Natural and Supernatural History,465093728,ISBN,Dan Flores,Coyote America,,,"https://images-na.ssl-images-amazon.com/images/I/51-Pw2CnTHL._SX332_BO1,204,203,200_.jpg"
587,Joe Rogan,The Art of Living and Dying,Osho,,1780285310,ISBN,Osho,The Art of Living and Dying,O Livro do Viver e do Morrer,8531609429,https://images-na.ssl-images-amazon.com/images/I/81lubuXnnjL.jpg
589,Joe Rogan,The Tipping Point,Malcolm Gladwell,How Little Things Can Make a Big Difference,316346624,ISBN,Malcolm Gladwell,The Tipping Point,O ponto da virada,8575424831,https://images-na.ssl-images-amazon.com/images/I/71k88w8gNeL.jpg
591,Joe Rogan,The War of Art,Steven Pressfield,Break Through the Blocks and Win Your Inner Creative Battles,1936891026,ISBN,Steven Pressfield,The War of Art,A Guerra Da Arte,8500015349,"https://images-na.ssl-images-amazon.com/images/I/41F4cjRKbjL._SX327_BO1,204,203,200_.jpg"
593,Joe Rogan,Chaos,Tom O'Neill,"Charles Manson, the CIA, and the Secret History of the Sixties",316477559,ISBN,Tom O'Neill,Chaos,,,https://m.media-amazon.com/images/I/41W5PphJQWL.jpg
595,Joe Rogan,Stealing Fire,Steven Kotler,"How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work",62429655,ISBN,Steven Kotler,Stealing Fire,BOLD,855080598X,"https://images-na.ssl-images-amazon.com/images/I/51O2frSI6LL._SX345_BO1,204,203,200_.jpg"
597,Joe Rogan,American Buffalo,Steven Rinella,In Search of a Lost Icon,385521693,ISBN,Steven Rinella,American Buffalo,,,"https://images-na.ssl-images-amazon.com/images/I/51oMW4Ea6vL._SX322_BO1,204,203,200_.jpg"
