,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
922,Eric Weinstein,Quantum Field Theory and Topology,Albert S. Schwarz,,3540547533,ISBN,Albert S. Schwarz,Quantum Field Theory and Topology,,3642081304,"https://images-na.ssl-images-amazon.com/images/I/41eotLFO4lL._SX331_BO1,204,203,200_.jpg"
923,Eric Weinstein,Principles of Quantum Mechanics,R. Shankar,,306447908,ISBN,R. Shankar,Principles of Quantum Mechanics,,,https://m.media-amazon.com/images/I/41tBKnUYTtL.jpg
924,Eric Weinstein,"Gauge Theories Of Strong, Weak, And Electromagnetic Interactions",Chris Quigg,,201328321,ISBN,Chris Quigg,"Gauge Theories Of Strong, Weak, And Electromagnetic Interactions",,,https://m.media-amazon.com/images/I/51sjuuJ7bOL.jpg
925,Noam Chomsky,"Culture, Inc.",Herbert I. Schiller,The Corporate Takeover of Public Expression,195067835,ISBN,Herbert I. Schiller,"Culture, Inc.",,,"https://images-na.ssl-images-amazon.com/images/I/41xQnj5hEFL._SX315_BO1,204,203,200_.jpg"
926,Noam Chomsky,Business as a System of Power,Robert A. Brady,,129850340X,ISBN,Robert A. Brady,Business as a System of Power,,,"https://images-na.ssl-images-amazon.com/images/I/41Zxjg4AwzL._SX331_BO1,204,203,200_.jpg"
927,Noam Chomsky,Image and Reality of the Israel-Palestine Conflict,Norman G. Finkelstein,,1859844421,ISBN,Norman G. Finkelstein,Image and Reality of the Israel-Palestine Conflict,Imagem e Realidade do Conflito Israel - Palestina,850106775X,"https://images-na.ssl-images-amazon.com/images/I/51QOMQVfp3L._SX340_BO1,204,203,200_.jpg"
928,Noam Chomsky,Anarcho-Syndicalism,Rudolf Rocker,,745313876,ISBN,Rudolf Rocker,Anarcho-Syndicalism,,,"https://images-na.ssl-images-amazon.com/images/I/511VYZSBLaL._SX321_BO1,204,203,200_.jpg"
929,Noam Chomsky,Bitter Fruit,Stephen C. Schlesinger,The Untold Story of the American Coup in Guatemala,385183542,ISBN,Stephen C. Schlesinger,Bitter Fruit,,,"https://images-na.ssl-images-amazon.com/images/I/21T4NQ00QVL._BO1,204,203,200_.jpg"
930,Noam Chomsky,The Discovery of India,Jawaharlal Nehru,,143031031,ISBN,Jawaharlal Nehru,The Discovery of India,,,https://images-na.ssl-images-amazon.com/images/I/917DxIAMgZL.jpg
931,Noam Chomsky,Out of Control,Leslie Cockburn,"The Story of the Reagan Administration's Secret War in Nicaragua, the Illegal Arms Pipeline, and the Contra Drug Connection",871131692,ISBN,Leslie Cockburn,Out of Control,,,"https://images-na.ssl-images-amazon.com/images/I/51fw6QKr+RL._SY344_BO1,204,203,200_.jpg"
932,Noam Chomsky,Web Of Deceit,Mark Curtis,Britain's Real Role in the World,99448394,ISBN,Mark Curtis,Web Of Deceit,,,https://images-na.ssl-images-amazon.com/images/I/61Vxkvo5-qL.jpg
933,Noam Chomsky,Accumulation and Power,Richard B. DuBoff,Economic History of the United States,873325591,ISBN,Richard B. DuBoff,Accumulation and Power,,,https://images-na.ssl-images-amazon.com/images/I/51AS4OABOhL.jpg
934,Noam Chomsky,John Quincy Adams and American Global Empire,William Earl Weeks,,813190584,ISBN,William Earl Weeks,John Quincy Adams and American Global Empire,,,https://images-na.ssl-images-amazon.com/images/I/71eL9e8sPVL.jpg
935,Noam Chomsky,The Politics of Heroin,Alfred W. McCoy,CIA Complicity in the Global Drug Trade,1556524838,ISBN,Alfred W. McCoy,The Politics of Heroin,,1556524838,"https://images-na.ssl-images-amazon.com/images/I/41w8ww1CeOL._SX336_BO1,204,203,200_.jpg"
936,Noam Chomsky,No Gods No Masters,Daniel Guerin,An Anthology of Anarchism,1904859259,ISBN,Daniel Guerin,No Gods No Masters,,,"https://images-na.ssl-images-amazon.com/images/I/51RPHBP2TKL._SX310_BO1,204,203,200_.jpg"
937,Noam Chomsky,The Real Terror Network,Edward S. Herman,Terrorism in Fact and Propaganda,896081346,ISBN,Edward S. Herman,The Real Terror Network,,,"https://images-na.ssl-images-amazon.com/images/I/51lu8oLNQyL._SX300_BO1,204,203,200_.jpg"
938,Noam Chomsky,Supremacy and Oil,William Stivers,"Iraq, Turkey and the Anglo American World Order 1918-1930",801414962,ISBN,William Stivers,Supremacy and Oil,,,https://images-na.ssl-images-amazon.com/images/I/81ujRDuvwUL.jpg
939,Noam Chomsky,European Empires,V.G. Kiernan,"From Conquest to Collapse, 1815-1960",718512286,ISBN,V.G. Kiernan,European Empires,,,"https://images-na.ssl-images-amazon.com/images/I/51XDBVzgGOL._SX321_BO1,204,203,200_.jpg"
940,Noam Chomsky,Viet Cong,Douglas Pike,The Organization and Technique of the National Liberation Front of South Vietnam,262160145,ISBN,Douglas Pike,Viet Cong,,,https://images-na.ssl-images-amazon.com/images/I/71x-oTXFoNL.jpg
941,Noam Chomsky,Panic Rules!,Robin Hahnel,Everything You Need to Know about the Global Economy,896086100,ISBN,Robin Hahnel,Panic Rules!,,,"https://images-na.ssl-images-amazon.com/images/I/71RFB37GKFL._SX304_BO1,204,203,200_.gif"
942,Noam Chomsky,The Uses of Haiti,Paul Farmer,,1567513441,ISBN,Paul Farmer,The Uses of Haiti,,,"https://images-na.ssl-images-amazon.com/images/I/51A7T2edQuL._SX331_BO1,204,203,200_.jpg"
943,Noam Chomsky,"After Such Knowledge, What Forgiveness?",Jonathan C. Randal,My Encounters with Kurdistan,367005603,ISBN,Jonathan C. Randal,"After Such Knowledge, What Forgiveness?",,,https://images-na.ssl-images-amazon.com/images/I/51ApKTbwcNL.jpg
944,Noam Chomsky,Facing West,Dr. Richard Drinnon Ph.D,The Metaphysics of Indian-Hating and Empire-Building,080612928X,ISBN,Dr. Richard Drinnon Ph.D,Facing West,,,https://images-na.ssl-images-amazon.com/images/I/61TyrFq8TDL.jpg
945,Noam Chomsky,Voices of a People's History of the United States,Howard Zinn,,1609805925,ISBN,Howard Zinn,Voices of a People's History of the United States,,,"https://images-na.ssl-images-amazon.com/images/I/41JK-Af6EjL._SX330_BO1,204,203,200_.jpg"
946,Noam Chomsky,Ruthless Criticism,Robert W. McChesney,New Perspectives in U.S. Communication History,816621705,ISBN,Robert W. McChesney,Ruthless Criticism,,,"https://images-na.ssl-images-amazon.com/images/I/414c-Pz5bkL._SX331_BO1,204,203,200_.jpg"
947,Noam Chomsky,"The Making of the Arab-Israeli Conflict, 1947-1951",Ilan PappÃ©,,1850433577,ISBN,Ilan Pappe,"The Making of the Arab-Israeli Conflict, 1947-1951",,,https://images-na.ssl-images-amazon.com/images/I/713nFXYSsVL.jpg
948,Noam Chomsky,Inevitable Revolutions,Walter LaFeber,The United States In Central America,393309649,ISBN,Walter LaFeber,Inevitable Revolutions,,,https://images-na.ssl-images-amazon.com/images/I/61-uxwKsIZL.jpg
949,Noam Chomsky,Arguing About War,Michael Walzer,,300109784,ISBN,Michael Walzer,Arguing About War,,,https://m.media-amazon.com/images/I/51BvC32QkZL.jpg
950,Noam Chomsky,The Road to OPEC,Stephen G. Rabe,"United States Relations with Venezuela, 1919-1976",292741537,ISBN,Stephen G. Rabe,The Road to OPEC,,,"https://images-na.ssl-images-amazon.com/images/I/51uAIobQGyL._SX331_BO1,204,203,200_.jpg"
951,Noam Chomsky,The Record of the Paper,Howard Friel,How the New York Times Misreports US Foreign Policy,1844670198,ISBN,Howard Friel,The Record of the Paper,,,"https://images-na.ssl-images-amazon.com/images/I/51z9qsZvzrL._SX328_BO1,204,203,200_.jpg"
952,Noam Chomsky,The Quality of Mercy,William Shawcross,"Cambodia, Holocaust and Modern Conscience",671606409,ISBN,William Shawcross,The Quality of Mercy,,,https://images-na.ssl-images-amazon.com/images/I/71wvT6kUzbL.jpg
953,Noam Chomsky,Exporting Democracy,Abraham F. Lowenthal,The United States and Latin America,801841321,ISBN,Abraham F. Lowenthal,Exporting Democracy,,9780801841330,"https://images-na.ssl-images-amazon.com/images/I/41K1EU0DipL._SX324_BO1,204,203,200_.jpg"
954,Noam Chomsky,The Anatomy of the Nuremberg Trials,Telford Taylor,A Personal Memoir,1620877880,ISBN,Telford Taylor,The Anatomy of the Nuremberg Trials,,,https://m.media-amazon.com/images/I/51Hy30albuL.jpg
955,Noam Chomsky,Al-Qaeda,Jason Burke,The True Story of Radical Islam,1850436665,ISBN,Jason Burke,Al-Qaeda,Al-Qaeda,8537800260,https://images-na.ssl-images-amazon.com/images/I/41iBasMFZHL.jpg
956,Noam Chomsky,Between Serb and Albanian,Miranda Vickers,A History of Kosovo,231113838,ISBN,Miranda Vickers,Between Serb and Albanian,,,"https://images-na.ssl-images-amazon.com/images/I/41ZG132R23L._SX294_BO1,204,203,200_.jpg"
957,Noam Chomsky,Safe for Democracy,Lloyd C. Gardner,"The Anglo-American Response to Revolution, 1913-1923",195041550,ISBN,Lloyd C. Gardner,Safe for Democracy,,,https://images-na.ssl-images-amazon.com/images/I/71z00R9fo-L.jpg
958,Noam Chomsky,Taking the Risk Out of Democracy,Alex Carey,Corporate Propaganda versus Freedom and Liberty,252066162,ISBN,Alex Carey,Taking the Risk Out of Democracy,,252066162,"https://images-na.ssl-images-amazon.com/images/I/51SdH3PUExL._SX324_BO1,204,203,200_.jpg"
959,Noam Chomsky,Human Rights and United States Policy Toward Latin America,Lars Schoultz,,691642400,ISBN,Lars Schoultz,Human Rights and United States Policy Toward Latin America,Estados Unidos - Poder E Submissao,8586259756,"https://images-na.ssl-images-amazon.com/images/I/41-IvhPeXOL._BO1,204,203,200_.jpg"
960,Noam Chomsky,Worlds in Collision,Ken Booth,Terror and the Future of Global Order,333998049,ISBN,Ken Booth,Worlds in Collision,,,https://images-na.ssl-images-amazon.com/images/I/71aS8b2VK1L.jpg
961,Noam Chomsky,Emergence of a Free Press,Leonard W. Levy,,195035062,ISBN,Leonard W. Levy,Emergence of a Free Press,,,https://images-na.ssl-images-amazon.com/images/I/710Lj6styAL.jpg
962,Noam Chomsky,Selling Free Enterprise,Elizabeth A. Fones-Wolf,"The Business Assault on Labor and Liberalism, 1945-60",252064399,ISBN,Elizabeth A. Fones-Wolf,Selling Free Enterprise,,,https://images-na.ssl-images-amazon.com/images/I/51PIPLeungL.jpg
963,Noam Chomsky,"The Transformation of American Law, 1870-1960",Morton J. Horwitz,The Crisis of Legal Orthodoxy,195070240,ISBN,Morton J. Horwitz,"The Transformation of American Law, 1870-1960",,,"https://images-na.ssl-images-amazon.com/images/I/51WzjbivXAL._SX331_BO1,204,203,200_.jpg"
964,Noam Chomsky,The Great Transformation,Karl Polanyi,The Political and Economic Origins of Our Time,080705643X,ISBN,Karl Polanyi,The Great Transformation,A Grande Transformação,9724416607,"https://images-na.ssl-images-amazon.com/images/I/31pXWDbdiIL._SX302_BO1,204,203,200_.jpg"
965,Noam Chomsky,The Limits of State Action,Wilhelm von Humboldt,,865971099,ISBN,Wilhelm von Humboldt,The Limits of State Action,Os Limites da Ação do Estado,8574750832,https://images-na.ssl-images-amazon.com/images/I/51tvZKVA53L.jpg
966,Noam Chomsky,The Kennedy Tapes,Ernest R. May,Inside the White House during the Cuban Missile Crisis,393322599,ISBN,Ernest R. May,The Kennedy Tapes,,,"https://images-na.ssl-images-amazon.com/images/I/419gb+etqOL._SX331_BO1,204,203,200_.jpg"
967,Noam Chomsky,The Iran Contra-Connection,Jane Hunter,Secret Teams and Covert Operations in the Reagan Era,921689144,ISBN,Jane Hunter,The Iran Contra-Connection,,,"https://images-na.ssl-images-amazon.com/images/I/811sphpQOmL._AC_SX75_CR,0,0,75,75_.jpg"
968,Noam Chomsky,American Foreign Policy,Henry A. Kissinger,,393056414,ISBN,Henry A. Kissinger,American Foreign Policy,Diplomacia,8502175068,"https://images-na.ssl-images-amazon.com/images/I/41yLOCKeK-L._SX345_BO1,204,203,200_.jpg"
969,Noam Chomsky,In the Name of Democracy,Thomas Carothers,U.S. Policy Toward Latin America in the Reagan Years,520082605,ISBN,Thomas Carothers,In the Name of Democracy,,,https://m.media-amazon.com/images/I/51nv74xac7L.jpg
970,Noam Chomsky,A Preponderance of Power,Melvyn P. Leffler,"National Security, the Truman Administration, and the Cold War",804722188,ISBN,Melvyn P. Leffler,A Preponderance of Power,,,"https://images-na.ssl-images-amazon.com/images/I/51fgGcq2G+L._SY344_BO1,204,203,200_.jpg"
971,Noam Chomsky,Conflicting Missions,Piero Gleijeses,"Havana, Washington, Pretoria",191985410X,ISBN,Piero Gleijeses,Conflicting Missions,,,https://m.media-amazon.com/images/I/51I8HFvm1QL._SY346_.jpg
972,Noam Chomsky,Nicaragua,Peter Kornbluh,The Price of Intervention: Reagan's Wars Against the Sandinistas,897580400,ISBN,Peter Kornbluh,Nicaragua,,,"https://images-na.ssl-images-amazon.com/images/I/61lHwSfgF7L._SX332_BO1,204,203,200_.jpg"
973,Noam Chomsky,Expulsion of the Palestinians,Nur Masalha,"The Concept of Transfer in Zionist Political Thought, 1882-1948",887282423,ISBN,Nur Masalha,Expulsion of the Palestinians,Expulsão dos Palestinos,6599379001,"https://images-na.ssl-images-amazon.com/images/I/51q2XaxkYKL._AC_SY60_CR,0,0,60,60_.jpg"
974,Noam Chomsky,The New Intifada,Roane Carey,Resisting Israel's Apartheid,1859843778,ISBN,Roane Carey,The New Intifada,,,"https://images-na.ssl-images-amazon.com/images/I/61TokD5uwlL._SX493_BO1,204,203,200_.jpg"
975,Noam Chomsky,The Long Peace,John Lewis Gaddis,Inquiries Into the History of the Cold War,195043359,ISBN,John Lewis Gaddis,The Long Peace,,,https://images-na.ssl-images-amazon.com/images/I/71-E5unr4gL.jpg
976,Noam Chomsky,"U.S. Policy Toward Economic Nationalism in Latin American, 1917-1929",Michael L Krenn,,842023461,ISBN,Michael L Krenn,"U.S. Policy Toward Economic Nationalism in Latin American, 1917-1929",,,"https://images-na.ssl-images-amazon.com/images/I/41RkfU7NR2L._SX331_BO1,204,203,200_.jpg"
977,Noam Chomsky,Danger and Survival,McGeorge Bundy,Choices About the Bomb in the First Fifty Years,394522788,ISBN,McGeorge Bundy,Danger and Survival,,,https://images-na.ssl-images-amazon.com/images/I/51etfmoJo5L.jpg
978,Noam Chomsky,"Israel's Border Wars, 1949-1956",Benny Morris,"Arab Infiltration, Israeli Retaliation, and the Countdown to the Suez War",198292627,ISBN,Benny Morris,"Israel's Border Wars, 1949-1956",,,https://images-na.ssl-images-amazon.com/images/I/71bOTPKKLYL.jpg
979,Noam Chomsky,"Cambodia, 1975-1982",Michael Vickery,,9747100819,ISBN,Michael Vickery,"Cambodia, 1975-1982",,,"https://images-na.ssl-images-amazon.com/images/I/51FNZPCBQ9L._SX303_BO1,204,203,200_.jpg"
980,Noam Chomsky,Reflections on the Cuban Missile Crisis,Raymond Garthoff,,815730535,ISBN,Raymond Garthoff,Reflections on the Cuban Missile Crisis,,,https://images-na.ssl-images-amazon.com/images/I/510DvCUR6ZL.jpg
981,Tim Ferriss,Genghis Khan and the Making of the Modern World,Jack Weatherford,,609809644,ISBN,Jack Weatherford,Genghis Khan and the Making of the Modern World,Gengis Khan e a Formação do Mundo Moderno,8528614492,"https://images-na.ssl-images-amazon.com/images/I/51rBdWezKTL._SX359_BO1,204,203,200_.jpg"
982,Ben Horowitz,Genghis Khan and the Making of the Modern World,Jack Weatherford,,609809644,ISBN,Jack Weatherford,Genghis Khan and the Making of the Modern World,Gengis Khan e a Formação do Mundo Moderno,8528614492,"https://images-na.ssl-images-amazon.com/images/I/51rBdWezKTL._SX359_BO1,204,203,200_.jpg"
983,Tim Ferriss,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Adventures of a Curious Character,393355624,ISBN,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!","Só Pode Ser Brincadeira, Sr. Feynman!",8551004840,"https://images-na.ssl-images-amazon.com/images/I/51fBNEDgyKL._SX345_BO1,204,203,200_.jpg"
984,Mark Zuckerberg,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Adventures of a Curious Character,393355624,ISBN,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!","Só Pode Ser Brincadeira, Sr. Feynman!",8551004840,"https://images-na.ssl-images-amazon.com/images/I/51fBNEDgyKL._SX345_BO1,204,203,200_.jpg"
985,Larry Page,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Adventures of a Curious Character,393355624,ISBN,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!","Só Pode Ser Brincadeira, Sr. Feynman!",8551004840,"https://images-na.ssl-images-amazon.com/images/I/51fBNEDgyKL._SX345_BO1,204,203,200_.jpg"
986,Tim Ferriss,How to Make Millions with Your Ideas,Dan S. Kennedy,An Entrepreneur's Guide,452273161,ISBN,Dan S. Kennedy,How to Make Millions with Your Ideas,,,"https://images-na.ssl-images-amazon.com/images/I/51BmFoparjL._SX326_BO1,204,203,200_.jpg"
987,Tim Ferriss,The Art of Asking,Amanda Palmer,How I Learned to Stop Worrying and Let People Help,1455581097,ISBN,Amanda Palmer,The Art of Asking,A arte de pedir,,https://m.media-amazon.com/images/I/41fF8DgfanL.jpg
988,Tim Ferriss,Emergency,Neil Strauss,This Book Will Save Your Life,60898771,ISBN,Neil Strauss,Emergency,Emergência,8576844419,"https://images-na.ssl-images-amazon.com/images/I/51utSxpeRBL._SX341_BO1,204,203,200_.jpg"
989,Tim Ferriss,Wild,Cheryl Strayed,From Lost to Found on the Pacific Crest Trail,307476073,ISBN,Cheryl Strayed,Wild,Livre,,https://m.media-amazon.com/images/I/41U4e-39WDL.jpg
990,Oprah Winfrey,Wild,Cheryl Strayed,From Lost to Found on the Pacific Crest Trail,307476073,ISBN,Cheryl Strayed,Wild,Livre,,https://m.media-amazon.com/images/I/41U4e-39WDL.jpg
991,Emma Watson,Wild,Cheryl Strayed,From Lost to Found on the Pacific Crest Trail,307476073,ISBN,Cheryl Strayed,Wild,Livre,,https://m.media-amazon.com/images/I/41U4e-39WDL.jpg
994,Tim Ferriss,Blue Ocean Strategy,W. Chan Kim,How to Create Uncontested Market Space and Make the Competition Irrelevant,1625274491,ISBN,W. Chan Kim,Blue Ocean Strategy,A estratégia do oceano azul,8543107024,https://m.media-amazon.com/images/I/51BeuuApFIL._SX35_.jpg
995,Tim Ferriss,The Artist's Way,Julia Cameron,Morning Pages Journal,143129414,ISBN,Julia Cameron,The Artist's Way,O caminho do artista,8543105544,"https://images-na.ssl-images-amazon.com/images/I/51NMhRXfQTL._SX346_BO1,204,203,200_.jpg"
996,Tim Ferriss,Biography of the Dollar,Craig Karmin,How the Mighty Buck Conquered the World and Why It's Under Siege,307339866,ISBN,Craig Karmin,Biography of the Dollar,,,"https://images-na.ssl-images-amazon.com/images/I/51Y3pGXscxL._SX320_BO1,204,203,200_.jpg"
997,Tim Ferriss,The Smartest Investment Book You'll Ever Read,Daniel R. Solin,"The Proven Way to Beat the Pros"" and Take Control of Your Financial Future""",399535993,ISBN,Daniel R. Solin,The Smartest Investment Book You'll Ever Read,,,https://images-na.ssl-images-amazon.com/images/I/81mYUBgRw3L.jpg
998,Tim Ferriss,On Writing Well,William Zinsser,An Informal Guide to Writing Nonfiction,60891548,ISBN,William Zinsser,On Writing Well,Como Escrever Bem,8568493378,https://images-na.ssl-images-amazon.com/images/I/81L9DFmA6RL.jpg
999,Tim Ferriss,Play It Away,Charlie Hoehn,A Workaholic's Cure for Anxiety,615918174,ISBN,Charlie Hoehn,Play It Away,,,"https://images-na.ssl-images-amazon.com/images/I/41-idGlni5L._SX311_BO1,204,203,200_.jpg"
1000,Tony Robbins,Play It Away,Charlie Hoehn,A Workaholic's Cure for Anxiety,615918174,ISBN,Charlie Hoehn,Play It Away,,,"https://images-na.ssl-images-amazon.com/images/I/41-idGlni5L._SX311_BO1,204,203,200_.jpg"
1001,Tim Ferriss,In Other Words,Ellen Bialystok,The Science And Psychology Of Second-language Acquisition,465032818,ISBN,Ellen Bialystok,In Other Words,,,"https://images-na.ssl-images-amazon.com/images/I/41gbC0Ko9nL._SX322_BO1,204,203,200_.jpg"
1002,Tim Ferriss,Joy on Demand,Chade-Meng Tan,The Art of Discovering the Happiness Within,62378856,ISBN,Chade-Meng Tan,Joy on Demand,Alegria Todo o Dia,9892338170,"https://images-na.ssl-images-amazon.com/images/I/51V8zUwccUL._SX336_BO1,204,203,200_.jpg"
1003,Tim Ferriss,The Graveyard Book,Neil Gaiman,,60530944,ISBN,Neil Gaiman,The Graveyard Book,O livro do cemitério,8579800129,"https://images-na.ssl-images-amazon.com/images/I/51HNolIXzGL._SX330_BO1,204,203,200_.jpg"
1004,Tim Ferriss,The Book of Laughter and Forgetting,Milan Kundera,,60932147,ISBN,Milan Kundera,The Book of Laughter and Forgetting,O Livro Do Riso E Do Esquecimento,8520900054,https://images-na.ssl-images-amazon.com/images/I/51i1gFTnxaL.jpg
1005,Tim Ferriss,Bird by Bird,Anne Lamott,Some Instructions on Writing and Life,385480016,ISBN,Anne Lamott,Bird by Bird,Palavra por Palavra,8575427172,"https://images-na.ssl-images-amazon.com/images/I/51UmMAXjMFL._SX325_BO1,204,203,200_.jpg"
1006,Tim Ferriss,The Magic of Thinking Big,David J. Schwartz,,1897384424,ISBN,David J. Schwartz,The Magic of Thinking Big,A mágica de pensar grande,8581030114,https://images-na.ssl-images-amazon.com/images/I/71z7Sj5U9ML.jpg
1007,Tim Ferriss,The Obstacle Is the Way,Ryan Holiday,The Timeless Art of Turning Trials into Triumph,1591846358,ISBN,Ryan Holiday,The Obstacle Is the Way,O obstáculo é o caminho,8568696066,"https://images-na.ssl-images-amazon.com/images/I/41bpgkA1bHL._SX333_BO1,204,203,200_.jpg"
1008,Tim Ferriss,Simple & Direct,Jacques Barzun,,60937238,ISBN,Jacques Barzun,Simple & Direct,,,https://images-na.ssl-images-amazon.com/images/I/61YCZ+TeJqL.jpg
1009,Tim Ferriss,The Power of Habit,Charles Duhigg,Why We Do What We Do in Life and Business,081298160X,ISBN,Charles Duhigg,The Power of Habit,O poder do hábito,,https://m.media-amazon.com/images/I/51vJiEaw12L.jpg
1010,Ray Dalio,The Power of Habit,Charles Duhigg,Why We Do What We Do in Life and Business,081298160X,ISBN,Charles Duhigg,The Power of Habit,O poder do hábito,,https://m.media-amazon.com/images/I/51vJiEaw12L.jpg
1011,Tim Ferriss,More Money Than God,Sebastian Mallaby,Hedge Funds and the Making of a New Elite,143119419,ISBN,Sebastian Mallaby,More Money Than God,,,"https://images-na.ssl-images-amazon.com/images/I/61qY4JsOtcL._SX324_BO1,204,203,200_.jpg"
1012,Tim Ferriss,How to Get Filthy Rich in Rising Asia,Mohsin Hamid,A Novel,1594632332,ISBN,Mohsin Hamid,How to Get Filthy Rich in Rising Asia,Como ficar podre de rico na Ásia emergente,8535924655,"https://images-na.ssl-images-amazon.com/images/I/41zK3jTlDEL._SX331_BO1,204,203,200_.jpg"
1013,Tim Ferriss,The Prophet,Kahlil Gibran,,1684222990,ISBN,Kahlil Gibran,The Prophet,O profeta,8537004553,"https://images-na.ssl-images-amazon.com/images/I/41+61BZtY4L._SX311_BO1,204,203,200_.jpg"
1014,Tim Ferriss,Leaving Microsoft to Change the World,John Wood,An Entrepreneur's Odyssey to Educate the World's Children,006112107X,ISBN,John Wood,Leaving Microsoft to Change the World,Saí Da Microsoft Para Mudar O Mundo,8575422812,"https://images-na.ssl-images-amazon.com/images/I/41IE6n6KCNL._SX331_BO1,204,203,200_.jpg"
1015,Tim Ferriss,Secrets of Power Negotiating,Roger Dawson,Inside Secrets from a Master Negotiator,1601631391,ISBN,Roger Dawson,Secrets of Power Negotiating,Segredos para convencer qualquer um de qualquer coisa,8550303437,"https://images-na.ssl-images-amazon.com/images/I/517U5dL30oL._SX339_BO1,204,203,200_.jpg"
1016,Tim Ferriss,How to Stop Worrying and Start Living,Dale Carnegie,,671035975,ISBN,Dale Carnegie,How to Stop Worrying and Start Living,Como evitar preocupações e começar a viver,8543109299,https://m.media-amazon.com/images/P/B08373CBKS.01._SCLZZZZZZZ_SX500_.jpg
1017,Tim Ferriss,Vagabonding,Rolf Potts,An Uncommon Guide to the Art of Long-Term World Travel,812992180,ISBN,Rolf Potts,Vagabonding,,,https://m.media-amazon.com/images/I/51jMBjoEvuL._SY346_.jpg
1018,Tim Ferriss,Liar's Poker,Michael Lewis,,039333869X,ISBN,Michael Lewis,Liar's Poker,O jogo da mentira,8576845121,"https://images-na.ssl-images-amazon.com/images/I/51dkPfhozaL._SX335_BO1,204,203,200_.jpg"
1019,Tim Ferriss,Levels of the Game,John McPhee,,374515263,ISBN,John McPhee,Levels of the Game,,,https://images-na.ssl-images-amazon.com/images/I/71ihRaqEkUL.jpg
1020,Tim Ferriss,Six Thinking Hats,Edward de Bono,,316178314,ISBN,Edward de Bono,Six Thinking Hats,Os Seis Chapéus Do Pensamento,8575423576,"https://images-na.ssl-images-amazon.com/images/I/41EZ2n96uiL._SX332_BO1,204,203,200_.jpg"
1021,Tim Ferriss,The Ride of a Lifetime,Robert Iger,Lessons Learned from 15 Years as CEO of the Walt Disney Company,399592091,ISBN,Robert Iger,The Ride of a Lifetime,Onde os Sonhos Acontecem,8551006673,https://m.media-amazon.com/images/I/41yEB2Et7qL._SY346_.jpg
1022,Tim Ferriss,Happy Money,Elizabeth Dunn,The Science of Happier Spending,1451665075,ISBN,Elizabeth Dunn,Happy Money,Dinheiro Feliz,858598533X,"https://images-na.ssl-images-amazon.com/images/I/510D6S6dioL._SX321_BO1,204,203,200_.jpg"
1023,Tim Ferriss,Letters to a Young Poet,Rainer Maria Rilke,,393310396,ISBN,Rainer Maria Rilke,Letters to a Young Poet,Cartas a um jovem poeta,8525053503,"https://images-na.ssl-images-amazon.com/images/I/41OjN8mxxfL._SX332_BO1,204,203,200_.jpg"
1024,Tim Ferriss,The 22 Immutable Laws of Marketing,Al Ries,Violate Them at Your Own Risk,887306667,ISBN,Al Ries,The 22 Immutable Laws of Marketing,As 22 Consagradas Leis De Marcas,8534610681,"https://images-na.ssl-images-amazon.com/images/I/41XSW-IVt5L._SX303_BO1,204,203,200_.jpg"
1025,Tim Ferriss,We Learn Nothing,Tim Kreider,Essays,1439198713,ISBN,Tim Kreider,We Learn Nothing,,,https://m.media-amazon.com/images/I/41U7HEgzLlL._SY346_.jpg
1026,Tim Ferriss,A Walk in the Woods,Bill Bryson,Rediscovering America on the Appalachian Trail,307279464,ISBN,Bill Bryson,A Walk in the Woods,,,"https://images-na.ssl-images-amazon.com/images/I/61ksRYf1yHL._SX302_BO1,204,203,200_.jpg"
1027,Tim Ferriss,Rework,David Â“DHHÂ” Heinemeier Hansson,,307463745,ISBN,Jason Fried,Rework,Rework,9892310659,https://images-na.ssl-images-amazon.com/images/I/418YAj0zsVL.jpg
1028,Jeff Bezos,Rework,David Â“DHHÂ” Heinemeier Hansson,,307463745,ISBN,Jason Fried,Rework,Rework,9892310659,https://images-na.ssl-images-amazon.com/images/I/418YAj0zsVL.jpg
1029,Seth Godin,Rework,David Â“DHHÂ” Heinemeier Hansson,,307463745,ISBN,Jason Fried,Rework,Rework,9892310659,https://images-na.ssl-images-amazon.com/images/I/418YAj0zsVL.jpg
1030,Mark Cuban,Rework,David Â“DHHÂ” Heinemeier Hansson,,307463745,ISBN,Jason Fried,Rework,Rework,9892310659,https://images-na.ssl-images-amazon.com/images/I/418YAj0zsVL.jpg
1031,Tim Ferriss,Grit,Angela Duckworth,The Power of Passion and Perseverance,1501111108,ISBN,Angela Duckworth,Grit,Garra,8551000020,"https://images-na.ssl-images-amazon.com/images/I/51zkC1VBuFL._SX345_BO1,204,203,200_.jpg"
1032,Tim Ferriss,Delivering Happiness,Tony Hsieh,"A Path to Profits, Passion, and Purpose",446563048,ISBN,Tony Hsieh,Delivering Happiness,Satisfação garantida,8595080275,https://m.media-amazon.com/images/P/B07PYDWG4Y.01._SCLZZZZZZZ_SX500_.jpg
